Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Category,Income Category
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,Male,98,Sales Executive,Single,5772,20445,4,Yes,21,4,80,14,4,9,6,0,8,41 - 50,5k - 10k
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,Male,36,Laboratory Technician,Married,2269,4892,1,No,19,3,80,1,2,1,0,0,1,31 - 40,<5k
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,Male,98,Laboratory Technician,Single,5381,19294,9,Yes,13,3,80,23,2,1,0,0,0,41 - 50,5k - 10k
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,Male,50,Laboratory Technician,Single,3441,11179,1,Yes,13,3,80,2,3,2,2,2,2,18 - 30,<5k
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,Female,75,Sales Executive,Divorced,5454,4009,5,Yes,21,4,80,9,2,4,3,1,3,41 - 50,5k - 10k
35,No,Non-Travel,1097,Research & Development,11,2,Medical,70,Male,79,Healthcare Representative,Married,9884,8302,2,Yes,13,3,80,10,3,4,0,2,3,31 - 40,5k - 10k
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,Female,47,Sales Executive,Married,4157,21436,7,Yes,19,3,80,5,2,2,2,0,0,18 - 30,<5k
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,Female,98,Research Director,Single,13458,15146,1,Yes,12,3,80,15,1,15,14,8,12,31 - 40,10k - 15k
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,Male,71,Sales Executive,Married,9069,11031,1,No,22,4,80,9,3,9,8,1,8,31 - 40,5k - 10k
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,75,Female,30,Laboratory Technician,Married,4014,16002,3,Yes,15,3,80,4,3,2,2,2,2,31 - 40,<5k
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,Male,48,Laboratory Technician,Divorced,5915,9528,3,No,22,4,80,10,3,7,7,1,7,31 - 40,5k - 10k
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,Male,51,Manufacturing Director,Divorced,5993,2689,1,No,18,3,80,7,2,7,5,0,7,31 - 40,5k - 10k
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,78,Male,33,Manufacturing Director,Married,6162,10877,1,Yes,22,4,80,9,3,9,8,7,8,31 - 40,5k - 10k
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,Female,50,Laboratory Technician,Single,2406,5456,1,No,11,3,80,10,2,10,3,9,9,31 - 40,<5k
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,80,Female,43,Research Director,Divorced,18740,16701,5,Yes,12,3,80,29,2,27,3,13,8,41 - 50,15k+
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,Female,99,Sales Executive,Single,7637,2354,7,No,11,3,80,28,3,21,16,7,9,51 - 64,5k - 10k
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,Female,59,Healthcare Representative,Divorced,10096,8202,1,No,13,3,80,17,2,17,14,12,8,31 - 40,10k - 15k
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,84,Female,33,Manager,Divorced,14756,19730,2,Yes,14,3,80,21,2,5,0,0,2,51 - 64,10k - 15k
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,Male,95,Manufacturing Director,Single,6499,22656,1,No,13,3,80,6,3,6,5,0,3,31 - 40,5k - 10k
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,Male,59,Research Scientist,Divorced,9724,18787,2,No,17,3,80,25,2,1,0,0,0,41 - 50,5k - 10k
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,88,Male,79,Research Scientist,Married,2194,5868,4,No,13,3,80,5,2,3,2,1,2,31 - 40,<5k
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,90,Male,79,Research Scientist,Married,3388,21777,0,Yes,17,3,80,2,0,1,0,0,0,31 - 40,<5k
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,Female,57,Sales Executive,Single,5473,24668,7,No,11,3,80,20,2,4,3,1,3,51 - 64,5k - 10k
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,Male,76,Research Scientist,Married,2703,4956,0,No,23,4,80,6,3,5,4,0,4,18 - 30,<5k
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,95,Male,87,Research Scientist,Single,2501,18775,1,No,17,3,80,1,4,1,1,1,0,31 - 40,<5k
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,Male,66,Research Scientist,Married,6220,7346,1,No,17,3,80,10,3,10,4,0,9,31 - 40,5k - 10k
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,Female,55,Laboratory Technician,Married,3038,22002,3,No,12,3,80,5,3,1,0,0,0,31 - 40,<5k
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,Female,61,Manufacturing Director,Single,4424,20682,1,No,23,4,80,11,2,11,7,1,8,31 - 40,<5k
35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,Male,32,Sales Executive,Single,4312,23016,0,No,14,3,80,16,2,15,13,2,8,31 - 40,<5k
45,No,Travel_Rarely,193,Research & Development,6,4,Other,101,Male,52,Research Director,Married,13245,15067,4,Yes,14,3,80,17,3,0,0,0,0,41 - 50,10k - 15k
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,102,Male,30,Research Director,Single,13664,25258,4,No,13,3,80,16,3,5,2,0,2,31 - 40,10k - 15k
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,103,Male,80,Human Resources,Divorced,5021,10425,8,Yes,22,4,80,16,2,4,2,0,2,41 - 50,5k - 10k
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,Male,55,Laboratory Technician,Married,5126,15998,1,Yes,12,3,80,10,1,10,8,3,0,18 - 30,5k - 10k
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,105,Male,30,Research Scientist,Single,2859,26278,1,No,18,3,80,6,3,6,4,0,4,31 - 40,<5k
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106,Male,70,Sales Executive,Married,10239,18092,3,No,14,3,80,24,4,1,0,1,0,51 - 64,10k - 15k
38,No,Non-Travel,573,Research & Development,6,3,Medical,107,Female,79,Research Scientist,Divorced,5329,15717,7,Yes,12,3,80,17,3,13,11,1,9,31 - 40,5k - 10k
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,110,Male,94,Manufacturing Director,Married,4325,17736,1,No,15,3,80,5,2,5,2,1,3,31 - 40,<5k
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,Male,49,Manufacturing Director,Single,7260,21698,4,No,11,3,80,37,3,6,4,0,2,51 - 64,5k - 10k
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,Male,62,Sales Representative,Divorced,2322,9518,3,No,13,3,80,3,3,0,0,0,0,18 - 30,<5k
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,Male,96,Laboratory Technician,Married,2075,18725,3,No,23,4,80,10,4,4,2,0,3,51 - 64,<5k
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,Male,99,Healthcare Representative,Married,4152,15830,1,No,19,3,80,11,3,11,10,10,8,18 - 30,<5k
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,118,Male,64,Sales Executive,Single,9619,13596,1,No,16,3,80,9,3,9,8,4,7,41 - 50,5k - 10k
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,Male,78,Healthcare Representative,Married,13503,14115,1,No,22,4,80,22,3,22,3,11,11,31 - 40,10k - 15k
51,No,Travel_Rarely,632,Sales,21,4,Marketing,120,Male,71,Sales Executive,Single,5441,8423,0,Yes,22,4,80,11,2,10,7,1,0,51 - 64,5k - 10k
30,No,Travel_Rarely,1334,Sales,4,2,Medical,121,Female,63,Sales Executive,Divorced,5209,19760,1,Yes,12,3,80,11,4,11,8,2,7,18 - 30,5k - 10k
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,124,Male,40,Healthcare Representative,Married,10673,3142,2,Yes,13,3,80,21,5,10,9,9,5,41 - 50,10k - 15k
32,No,Travel_Rarely,1093,Sales,6,4,Medical,125,Male,87,Sales Executive,Single,5010,24301,1,No,16,3,80,12,0,11,8,5,7,31 - 40,5k - 10k
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126,Female,60,Research Director,Married,13549,24001,9,No,12,3,80,16,5,4,3,0,3,51 - 64,10k - 15k
24,No,Travel_Rarely,1353,Sales,3,2,Other,128,Female,33,Sales Executive,Married,4999,17519,0,No,21,4,80,4,2,3,2,0,2,18 - 30,<5k
28,No,Non-Travel,120,Sales,4,3,Medical,129,Male,43,Sales Executive,Married,4221,8863,1,No,15,3,80,5,3,5,4,0,4,18 - 30,<5k
58,No,Travel_Rarely,682,Sales,10,4,Medical,131,Male,37,Sales Executive,Single,13872,24409,0,No,13,3,80,38,1,37,10,1,8,51 - 64,10k - 15k
44,No,Non-Travel,489,Research & Development,23,3,Medical,132,Male,67,Laboratory Technician,Married,2042,25043,4,No,12,3,80,17,3,3,2,1,2,41 - 50,<5k
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,Male,63,Human Resources,Divorced,2073,23648,4,Yes,22,4,80,7,3,3,2,0,2,31 - 40,<5k
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134,Male,71,Research Scientist,Single,2956,15178,1,No,13,3,80,1,2,1,0,0,0,31 - 40,<5k
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,137,Female,66,Laboratory Technician,Single,2926,19783,1,Yes,18,3,80,1,5,1,0,1,0,18 - 30,<5k
34,No,Travel_Rarely,665,Research & Development,6,4,Other,138,Female,41,Research Scientist,Single,4809,12482,1,No,14,3,80,16,3,16,13,2,10,31 - 40,<5k
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,139,Male,100,Healthcare Representative,Divorced,5163,15850,5,No,14,3,80,17,2,1,0,0,0,31 - 40,5k - 10k
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,140,Female,32,Manager,Married,18844,21922,9,No,21,4,80,30,3,3,2,2,2,51 - 64,15k+
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,141,Female,73,Research Director,Married,18172,9755,3,Yes,19,3,80,28,1,8,3,0,7,41 - 50,15k+
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,142,Male,46,Sales Executive,Single,5744,26959,1,Yes,11,3,80,6,1,6,4,0,3,18 - 30,5k - 10k
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,143,Male,64,Research Scientist,Married,2889,26897,1,No,11,3,80,2,2,2,2,2,1,18 - 30,<5k
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,144,Female,59,Laboratory Technician,Single,2871,23785,1,No,15,3,80,1,5,0,0,0,0,18 - 30,<5k
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,145,Female,30,Healthcare Representative,Single,7484,25796,3,No,20,4,80,23,1,13,12,12,8,51 - 64,5k - 10k
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,147,Male,66,Laboratory Technician,Single,6074,22887,1,Yes,24,4,80,9,3,9,7,0,6,31 - 40,5k - 10k
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,148,Female,30,Manager,Single,17328,13871,2,Yes,12,3,80,23,3,5,3,4,4,51 - 64,15k+
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,150,Male,52,Laboratory Technician,Married,2774,13257,0,No,12,3,80,6,2,5,3,1,2,18 - 30,<5k
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,151,Female,45,Research Scientist,Divorced,4505,15000,6,No,15,3,80,12,3,1,0,0,0,31 - 40,<5k
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,152,Male,87,Sales Executive,Single,7428,14506,2,No,12,3,80,12,3,5,3,1,3,31 - 40,5k - 10k
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,153,Female,45,Manager,Single,11631,5615,2,No,12,3,80,14,6,11,10,5,8,31 - 40,10k - 15k
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,154,Female,92,Sales Executive,Married,9738,22952,0,No,14,3,80,10,6,9,7,2,8,31 - 40,5k - 10k
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,155,Female,39,Laboratory Technician,Divorced,2835,2561,5,No,22,4,80,7,2,1,0,0,0,31 - 40,<5k
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,158,Male,92,Manager,Married,16959,19494,1,Yes,12,3,80,25,3,25,12,4,12,41 - 50,15k+
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,159,Male,96,Research Scientist,Divorced,2613,22310,1,No,25,4,80,10,2,10,7,0,9,18 - 30,<5k
33,No,Non-Travel,750,Sales,22,2,Marketing,160,Male,95,Sales Executive,Married,6146,15480,0,No,13,3,80,8,2,7,7,0,7,31 - 40,5k - 10k
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,161,Female,72,Research Scientist,Married,4963,4510,9,Yes,18,3,80,7,2,5,4,4,3,51 - 64,<5k
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,162,Male,51,Research Director,Single,19537,6462,7,No,13,3,80,23,5,20,18,15,15,51 - 64,15k+
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,163,Male,76,Sales Executive,Married,6172,20739,4,Yes,18,3,80,12,3,7,7,7,7,31 - 40,5k - 10k
26,No,Travel_Rarely,841,Research & Development,6,3,Other,164,Female,46,Research Scientist,Married,2368,23300,1,No,19,3,80,5,3,5,4,4,3,18 - 30,<5k
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,165,Female,94,Healthcare Representative,Married,10312,3465,1,No,12,3,80,40,3,40,10,15,6,51 - 64,10k - 15k
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,167,Male,50,Sales Representative,Single,1675,26820,1,Yes,19,3,80,0,2,0,0,0,0,18 - 30,<5k
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,169,Male,100,Laboratory Technician,Married,2523,19299,0,No,14,3,80,3,2,2,1,2,1,18 - 30,<5k
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,170,Female,96,Manufacturing Director,Married,6567,5549,1,No,14,3,80,16,2,15,11,5,11,41 - 50,5k - 10k
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,171,Female,72,Research Scientist,Single,4739,16090,4,No,12,3,80,18,2,3,2,1,2,41 - 50,<5k
50,No,Travel_Frequently,809,Sales,12,3,Marketing,174,Female,77,Sales Executive,Single,9208,6645,4,No,11,3,80,16,3,2,2,2,1,41 - 50,5k - 10k
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,175,Female,71,Sales Executive,Married,4559,24788,3,Yes,11,3,80,4,2,2,2,2,2,31 - 40,<5k
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,176,Male,96,Sales Executive,Divorced,8189,21196,3,Yes,13,3,80,12,2,9,7,0,7,41 - 50,5k - 10k
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,177,Female,61,Human Resources,Married,2942,8916,1,No,23,4,80,8,3,8,7,5,7,18 - 30,<5k
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,178,Male,84,Manufacturing Director,Divorced,4941,2819,6,No,20,4,80,7,0,3,2,0,1,31 - 40,<5k
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,179,Male,53,Manufacturing Director,Single,10650,25150,2,No,15,3,80,18,2,4,2,0,3,51 - 64,10k - 15k
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,182,Female,47,Sales Executive,Married,5902,14590,4,No,14,3,80,17,1,15,11,5,9,31 - 40,5k - 10k
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,183,Male,41,Sales Executive,Married,8639,24835,2,No,18,3,80,6,3,2,2,2,2,18 - 30,5k - 10k
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,184,Male,48,Human Resources,Married,6347,13982,0,Yes,19,3,80,12,2,11,9,4,7,18 - 30,5k - 10k
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,190,Female,41,Laboratory Technician,Single,4200,10224,7,No,22,4,80,10,2,5,4,0,4,31 - 40,<5k
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,192,Male,83,Research Scientist,Single,3452,9752,5,No,13,3,80,9,2,6,5,0,3,41 - 50,<5k
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,193,Female,32,Research Scientist,Single,4317,2302,3,Yes,20,4,80,19,2,3,2,2,2,31 - 40,<5k
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,194,Female,75,Research Scientist,Single,2632,23910,1,No,14,3,80,5,4,5,4,0,4,18 - 30,<5k
32,No,Travel_Frequently,689,Sales,9,2,Medical,195,Male,35,Sales Executive,Divorced,4668,22812,0,No,17,3,80,9,2,8,7,0,7,31 - 40,<5k
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,197,Female,84,Research Scientist,Divorced,3204,10415,5,No,14,3,80,8,3,3,2,2,2,18 - 30,<5k
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,198,Male,35,Laboratory Technician,Single,2720,11162,0,No,13,3,80,6,3,5,3,1,2,18 - 30,<5k
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,199,Male,91,Manager,Divorced,17181,12888,4,No,13,3,80,21,2,7,6,7,7,41 - 50,15k+
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,200,Male,94,Laboratory Technician,Married,2238,6961,2,No,21,4,80,7,2,5,0,1,4,41 - 50,<5k
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,201,Female,79,Laboratory Technician,Single,1483,16102,1,No,14,3,80,1,3,1,0,0,0,18 - 30,<5k
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,202,Female,54,Research Scientist,Divorced,5605,8504,1,No,11,3,80,20,2,20,7,2,13,31 - 40,5k - 10k
35,No,Travel_Rarely,662,Sales,1,5,Marketing,204,Male,94,Sales Executive,Married,7295,11439,1,No,13,3,80,10,3,10,8,0,6,31 - 40,5k - 10k
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,205,Male,34,Sales Representative,Married,2306,16047,2,Yes,20,4,80,13,3,7,7,4,5,51 - 64,<5k
